file,centroid_y,centroid_x,gold_diameter_nm,gold_radius_px,capsid_diameter_nm,capsid_radius_px,is_reliable
VLP17_0001.dm4,17.479378682378147,2785.7402249598285,17.238792971008234,24.37795228285463,32.10415064766684,45.399550530400354,True
VLP17_0001.dm4,41.587525987525986,3044.73762993763,19.565557871423284,27.668308157023564,32.74887325269847,46.311274276231714,True
VLP17_0001.dm4,53.57439241256669,116.23888559573207,16.38672767391936,23.173018318554337,30.122359407243675,42.597033418276254,True
VLP17_0001.dm4,56.01411192214112,2933.2822384428223,18.085920112106777,25.575903036015948,32.607894536460584,46.111911570088346,True
VLP17_0001.dm4,80.04611111111112,200.11555555555555,16.92664740522716,23.936536824085962,33.50077893885978,47.37456919306691,True
VLP17_0001.dm4,88.59584035975267,459.9865092748735,16.82761894831747,23.796497379256547,30.430563265835453,43.03287477740029,True
VLP17_0001.dm4,129.67587285044294,3670.845752996352,17.47721313245264,24.715110187630042,31.286104759002843,44.24272454655249,True
VLP17_0001.dm4,124.5291387313048,362.6616812790098,17.56805165043973,24.84356796658584,32.86361938338714,46.47354060794501,True
VLP17_0001.dm4,129.73803363518758,614.0006468305304,15.686983504040073,22.18348674217244,30.700755103664825,43.414962069758786,True
VLP17_0001.dm4,141.7648864333947,101.11540822590547,16.10257153701543,22.77118364497979,32.0803920277483,45.365952673308236,True
VLP17_0001.dm4,158.836820083682,3567.408368200837,13.791726865833486,19.50334109812034,28.851627875230253,40.800049563093374,True
VLP17_0001.dm4,198.86021505376345,3247.288602150538,19.23739106944185,27.204236533623092,34.17571062303193,48.32901260558462,True
VLP17_0001.dm4,201.55561643835617,2875.579726027397,17.043788231348753,24.10218957450584,31.849904287434935,45.04001226990575,True
VLP17_0001.dm4,207.15505617977527,3157.120786516854,16.832347800159674,23.803184606416586,31.438885573371177,44.45877699341873,True
VLP17_0001.dm4,212.3877679697352,734.3203026481715,15.888623958251126,22.468633235857762,32.50584247421112,45.96759634407059,True
VLP17_0001.dm4,219.76346604215456,3708.156908665105,18.434596441551985,26.068977866467897,31.68504831378684,44.80688393743517,True
VLP17_0001.dm4,263.9160839160839,901.4335664335664,16.526973731946274,23.371344948277684,31.782672364980648,44.94493736528618,True
VLP17_0001.dm4,289.13367281985995,773.6473583704646,15.813310100994173,22.362129397593943,29.878412308272743,42.25205968674786,True
VLP17_0001.dm4,317.2049818370524,1006.5594187856772,17.513605078432946,24.76657325259521,30.678151332182754,43.382997322370194,True
VLP17_0001.dm4,480.3529411764706,1320.5537372843874,18.97077076529952,26.827199866209494,31.397928446277596,44.40085815353189,True
VLP17_0001.dm4,493.04116865869855,1213.617529880478,15.48271719128587,21.894626934314015,30.41354099675194,43.008803018770685,True
VLP17_0001.dm4,512.1770005299417,783.2458929517753,17.330881195502613,24.508177313476683,32.53611722168986,46.010408874544936,True
VLP17_0001.dm4,528.7597363690833,522.0419412822049,16.29907144396225,23.049060719273285,32.315967905835656,45.69908838209384,True
VLP17_0001.dm4,528.9471365638766,3777.638032305433,14.723913210653897,20.821576909118168,30.215529586488362,42.72878847720827,True
VLP17_0001.dm4,555.1296625222025,2960.3487270574306,16.396438328208014,23.186750478763134,31.376660399525413,44.37078229904799,True
VLP17_0001.dm4,603.4675324675325,3609.096221959858,16.420689840246194,23.221045351046136,29.168251841517648,41.24779807743213,True
VLP17_0001.dm4,625.2037756801777,3134.283731260411,16.931348598875708,23.943184938871582,30.586131819244038,43.252869459051446,True
VLP17_0001.dm4,630.1195542046606,922.7882472137791,17.725898951657395,25.0667851015403,32.08497953018093,45.37244001355231,True
VLP17_0001.dm4,659.7787325456499,315.4452201933405,17.21569394821037,24.34528718405717,34.53583465908828,48.83827601988835,False
VLP17_0001.dm4,660.4832061068703,413.57786259541984,14.440104724515546,20.42023386008999,28.972432758503356,40.97088377897614,True
VLP17_0001.dm4,699.262700228833,2784.1437070938214,18.649208984598754,26.372468623767148,30.694683287474973,43.40637571190906,True
VLP17_0001.dm4,808.8186813186813,767.210989010989,17.02042456274891,24.069150231250354,31.35771125176442,44.34398567699358,True
VLP17_0001.dm4,826.6321381142099,3636.1148738379816,15.48271719128587,21.894626934314015,30.40137500108761,42.99159867840433,True
VLP17_0001.dm4,925.3818277310925,2703.1323529411766,17.40877318884555,24.61832697999475,29.00970499041271,41.0235916856428,True
VLP17_0001.dm4,928.348142164782,835.8642972536348,14.037669634228498,19.851136972363392,28.1615586119962,39.824199594985046,True
VLP17_0001.dm4,955.1544303797468,3791.4886075949366,19.422667169268053,27.46624164780438,32.15493429389171,45.47136537883559,True
VLP17_0001.dm4,955.651536643026,726.7569739952719,18.348048562382267,25.9465876230135,30.763120880344392,43.50315559528778,True
VLP17_0001.dm4,1025.1970167806091,223.11062771908018,16.00341682858246,22.630965663659147,25.856201508500792,36.564117200674346,False
VLP17_0001.dm4,1081.2174567343868,3516.841234010534,14.544446066267088,20.567786432629493,31.201021289277858,44.122405173351375,True
VLP17_0001.dm4,1108.087570621469,3822.710451977401,18.387045521492634,26.001734523957655,32.663737563314214,46.190881057468204,True
VLP17_0001.dm4,1115.9525586353946,580.5015991471215,17.280293401999497,24.436639426909572,29.252338753859455,41.36670818558927,True
VLP17_0001.dm4,1216.135866736075,3448.3435710567414,17.486318219359653,24.727985994800747,29.940582110636193,42.339976078458086,True
VLP17_0001.dm4,1248.881736526946,750.0306886227545,14.582699419000663,20.62188177498708,29.27966979338445,41.40535792043449,True
VLP17_0001.dm4,1257.7226053639847,972.6996168582375,14.412520927170945,20.381226691979236,26.84415973078469,37.961221884325646,False
VLP17_0001.dm4,1267.3950421940929,2557.59388185654,17.372161637934713,24.566553364370574,28.712682000303026,40.60356156566966,True
VLP17_0001.dm4,1292.766476810415,2081.5183075671275,13.986551104465905,19.77884855394466,28.259299569582478,39.96241834406603,True
VLP17_0001.dm4,1320.6225863077823,2663.420713867759,16.493230422390635,23.323627408447816,27.91241972774524,39.47188398667722,True
VLP17_0001.dm4,1326.3918305597579,3783.1043872919818,14.506091837713633,20.51354843840946,30.311268798704685,42.864176491376824,True
VLP17_0001.dm4,1381.9193857965452,3298.925623800384,18.213086591205677,25.75573339679963,31.652274163886474,44.76053691860816,True
VLP17_0001.dm4,1474.5072655217966,2404.4887714663146,15.523785478789518,21.9527029698454,26.896885405470247,38.03578301999956,False
VLP17_0001.dm4,1477.947987616099,3602.848297213622,16.033227627772245,22.673122109379246,31.986251880165092,45.2328259497874,True
VLP17_0001.dm4,1508.76563321072,3919.6048344718865,17.404200956806392,24.611861234123552,29.824025903643893,42.17515005745375,True
VLP17_0001.dm4,1572.8553682342501,2743.967169476486,13.393579291197195,18.940307329321033,28.984661440747463,40.988176766526394,True
VLP17_0001.dm4,1597.5428571428572,3794.284807256236,18.734365632883918,26.492891481211682,32.15823661469839,45.47603530086454,True
